"b0","b_yravg","b_ba","b_fire","b_fire_ba","b_herb","b_herb_ba","b_herb_fire","b_fire_recov","b_herb_recov","Treatment.Act","BA","Recovery","low","med","high"
1,1,-1.33559644807819,0,0,0,0,0,0,0,"Control",45.7,NA,0.432325243276507,0.488843778567739,0.554989346379638
1,1,-1.33073055102059,0,0,0,0,0,0,0,"Control",45.8,NA,0.43236007996096,0.488755303530908,0.554727148077719
1,1,-1.32586465396298,0,0,0,0,0,0,0,"Control",45.9,NA,0.432375705804857,0.488674052635621,0.55443922034046
1,1,-1.32099875690538,0,0,0,0,0,0,0,"Control",46,NA,0.432410706659114,0.488603045480055,0.554173572014685
1,1,-1.31613285984778,0,0,0,0,0,0,0,"Control",46.1,NA,0.432393576296699,0.488528826090143,0.553909163972344
1,1,-1.31126696279018,0,0,0,0,0,0,0,"Control",46.2,NA,0.432439061292743,0.48841308334658,0.553644555609372
1,1,-1.30640106573258,0,0,0,0,0,0,0,"Control",46.3,NA,0.432458990687202,0.488335006748887,0.55340170716722
1,1,-1.30153516867497,0,0,0,0,0,0,0,"Control",46.4,NA,0.432494342204717,0.488234255592168,0.553119479425805
1,1,-1.29666927161737,0,0,0,0,0,0,0,"Control",46.5,NA,0.432515071119967,0.488146990793276,0.55287436970084
1,1,-1.29180337455977,0,0,0,0,0,0,0,"Control",46.6,NA,0.432532957039566,0.488063244763137,0.552638905377568
1,1,-1.28693747750217,0,0,0,0,0,0,0,"Control",46.7,NA,0.432566076685931,0.487961598175303,0.552386048479437
1,1,-1.28207158044456,0,0,0,0,0,0,0,"Control",46.8,NA,0.432557274358991,0.487870490633885,0.552120517436709
1,1,-1.27720568338696,0,0,0,0,0,0,0,"Control",46.9,NA,0.432561555966044,0.487796040143884,0.551855009686756
1,1,-1.27233978632936,0,0,0,0,0,0,0,"Control",47,NA,0.43258299979245,0.487704564167101,0.551589887200897
1,1,-1.26747388927176,0,0,0,0,0,0,0,"Control",47.1,NA,0.432631801211836,0.487621125335349,0.551338072761266
1,1,-1.26260799221415,0,0,0,0,0,0,0,"Control",47.2,NA,0.43269767453033,0.487529778344106,0.551154074487403
1,1,-1.25774209515655,0,0,0,0,0,0,0,"Control",47.3,NA,0.432716293411487,0.487427897944997,0.550963835348822
1,1,-1.25287619809895,0,0,0,0,0,0,0,"Control",47.4,NA,0.432718317520962,0.487328423549481,0.550769808175194
1,1,-1.24801030104135,0,0,0,0,0,0,0,"Control",47.5,NA,0.43277078124206,0.48724574150624,0.550564620729946
1,1,-1.24314440398375,0,0,0,0,0,0,0,"Control",47.6,NA,0.432758891921482,0.487165085714142,0.550343763863475
1,1,-1.23827850692614,0,0,0,0,0,0,0,"Control",47.7,NA,0.432772495379091,0.4870951736543,0.55009187948751
1,1,-1.23341260986854,0,0,0,0,0,0,0,"Control",47.8,NA,0.432771391724159,0.487010351330995,0.549867426175757
1,1,-1.22854671281094,0,0,0,0,0,0,0,"Control",47.9,NA,0.432800869123238,0.486927624128673,0.549604676602222
1,1,-1.22368081575334,0,0,0,0,0,0,0,"Control",48,NA,0.432786979189789,0.486828946786646,0.549362376347545
1,1,-1.21881491869573,0,0,0,0,0,0,0,"Control",48.1,NA,0.432779593937469,0.486732894688449,0.549153912630625
1,1,-1.21394902163813,0,0,0,0,0,0,0,"Control",48.2,NA,0.432735002029416,0.48664372307362,0.548907711810509
1,1,-1.20908312458053,0,0,0,0,0,0,0,"Control",48.3,NA,0.432744911626654,0.486556131893554,0.548653830598721
1,1,-1.20421722752293,0,0,0,0,0,0,0,"Control",48.4,NA,0.432777540504399,0.486474837520682,0.548407452908806
1,1,-1.19935133046533,0,0,0,0,0,0,0,"Control",48.5,NA,0.432766030415022,0.486394233456591,0.548133422024974
1,1,-1.19448543340772,0,0,0,0,0,0,0,"Control",48.6,NA,0.432796564553052,0.48631611467006,0.547853098168635
1,1,-1.18961953635012,0,0,0,0,0,0,0,"Control",48.7,NA,0.432808523006161,0.486221919546714,0.547580162521656
1,1,-1.18475363929252,0,0,0,0,0,0,0,"Control",48.8,NA,0.432816499170473,0.486128729415336,0.547325854629607
1,1,-1.17988774223492,0,0,0,0,0,0,0,"Control",48.9,NA,0.432860048586138,0.486053204156078,0.547073527893768
1,1,-1.17502184517731,0,0,0,0,0,0,0,"Control",49,NA,0.432894315539951,0.485974484806974,0.546778640557782
1,1,-1.17015594811971,0,0,0,0,0,0,0,"Control",49.1,NA,0.432895745526026,0.485879773276971,0.546564850484485
1,1,-1.16529005106211,0,0,0,0,0,0,0,"Control",49.2,NA,0.432888224195347,0.485793990646314,0.546307892166124
1,1,-1.16042415400451,0,0,0,0,0,0,0,"Control",49.3,NA,0.432908102682462,0.485707390822464,0.546088703995009
1,1,-1.15555825694691,0,0,0,0,0,0,0,"Control",49.4,NA,0.432914074094532,0.485620065138732,0.545873006941138
1,1,-1.1506923598893,0,0,0,0,0,0,0,"Control",49.5,NA,0.432918335962484,0.485541772234524,0.545686525071109
1,1,-1.1458264628317,0,0,0,0,0,0,0,"Control",49.6,NA,0.43297524510544,0.485439146494315,0.545475879617089
1,1,-1.1409605657741,0,0,0,0,0,0,0,"Control",49.7,NA,0.432966504441639,0.485357685763309,0.545287338912684
1,1,-1.1360946687165,0,0,0,0,0,0,0,"Control",49.8,NA,0.432927380031149,0.485270946894568,0.545089431818843
1,1,-1.13122877165889,0,0,0,0,0,0,0,"Control",49.9,NA,0.432970637617378,0.485159913563598,0.544881397707856
1,1,-1.12636287460129,0,0,0,0,0,0,0,"Control",50,NA,0.432981223302999,0.485089240489551,0.544667577444016
1,1,-1.12149697754369,0,0,0,0,0,0,0,"Control",50.1,NA,0.432974614266479,0.485003943717107,0.544377512656369
1,1,-1.11663108048609,0,0,0,0,0,0,0,"Control",50.2,NA,0.433010489313333,0.484910027630063,0.544144539145627
1,1,-1.11176518342849,0,0,0,0,0,0,0,"Control",50.3,NA,0.433034540771845,0.484814314371112,0.54394273897485
1,1,-1.10689928637088,0,0,0,0,0,0,0,"Control",50.4,NA,0.433021570778171,0.484726894226946,0.543665721670952
1,1,-1.10203338931328,0,0,0,0,0,0,0,"Control",50.5,NA,0.433022803036484,0.484654969620024,0.543447093469046
1,1,-1.09716749225568,0,0,0,0,0,0,0,"Control",50.6,NA,0.433059396908601,0.484585714467169,0.543198631591445
1,1,-1.09230159519808,0,0,0,0,0,0,0,"Control",50.7,NA,0.433101657348967,0.484489987507067,0.542970677669418
1,1,-1.08743569814047,0,0,0,0,0,0,0,"Control",50.8,NA,0.433100632612154,0.484397720043949,0.542722745434243
1,1,-1.08256980108287,0,0,0,0,0,0,0,"Control",50.9,NA,0.433090332784197,0.484296232154936,0.54249947587455
1,1,-1.07770390402527,0,0,0,0,0,0,0,"Control",51,NA,0.433096759676802,0.484184353308574,0.542290683956759
1,1,-1.07283800696767,0,0,0,0,0,0,0,"Control",51.1,NA,0.433101305116732,0.484086810566884,0.542082157366995
1,1,-1.06797210991006,0,0,0,0,0,0,0,"Control",51.2,NA,0.433111340593848,0.483997298335293,0.541835416218482
1,1,-1.06310621285246,0,0,0,0,0,0,0,"Control",51.3,NA,0.433112148303871,0.483932458063617,0.541610159683182
1,1,-1.05824031579486,0,0,0,0,0,0,0,"Control",51.4,NA,0.43313591567667,0.483846739623452,0.541447394791434
1,1,-1.05337441873726,0,0,0,0,0,0,0,"Control",51.5,NA,0.433175637210116,0.483768916647481,0.541186939437373
1,1,-1.04850852167966,0,0,0,0,0,0,0,"Control",51.6,NA,0.433245759983318,0.483674760473532,0.540928471356481
1,1,-1.04364262462205,0,0,0,0,0,0,0,"Control",51.7,NA,0.433248268422656,0.483586726712615,0.54069411644649
1,1,-1.03877672756445,0,0,0,0,0,0,0,"Control",51.8,NA,0.433291796260257,0.483503790505645,0.540475591220792
1,1,-1.03391083050685,0,0,0,0,0,0,0,"Control",51.9,NA,0.433294895603072,0.48340326248878,0.540240376818991
1,1,-1.02904493344925,0,0,0,0,0,0,0,"Control",52,NA,0.433270930586694,0.483311441494542,0.53999875101565
1,1,-1.02417903639164,0,0,0,0,0,0,0,"Control",52.1,NA,0.433283436957488,0.483222769087727,0.539760082903724
1,1,-1.01931313933404,0,0,0,0,0,0,0,"Control",52.2,NA,0.433231612925999,0.483134090959027,0.539518959102217
1,1,-1.01444724227644,0,0,0,0,0,0,0,"Control",52.3,NA,0.43324676204484,0.483026465898699,0.539280895542452
1,1,-1.00958134521884,0,0,0,0,0,0,0,"Control",52.4,NA,0.433302385724034,0.482953852901223,0.53907983014253
1,1,-1.00471544816124,0,0,0,0,0,0,0,"Control",52.5,NA,0.433308688572552,0.482848070048855,0.538861708816777
1,1,-0.999849551103633,0,0,0,0,0,0,0,"Control",52.6,NA,0.433269537250092,0.482756881780364,0.538623854741705
1,1,-0.994983654046031,0,0,0,0,0,0,0,"Control",52.7,NA,0.433303949789117,0.48267830262203,0.538392805351619
1,1,-0.990117756988429,0,0,0,0,0,0,0,"Control",52.8,NA,0.433359146824095,0.482586652142674,0.538137637956186
1,1,-0.985251859930827,0,0,0,0,0,0,0,"Control",52.9,NA,0.433376067661428,0.482499147808774,0.537907142449006
1,1,-0.980385962873225,0,0,0,0,0,0,0,"Control",53,NA,0.433376685670623,0.482415243382365,0.537699571900765
1,1,-0.975520065815622,0,0,0,0,0,0,0,"Control",53.1,NA,0.433425774825714,0.482354389289191,0.537467100683054
1,1,-0.97065416875802,0,0,0,0,0,0,0,"Control",53.2,NA,0.433510312399256,0.482270074429796,0.537248294086784
1,1,-0.965788271700418,0,0,0,0,0,0,0,"Control",53.3,NA,0.433491837367573,0.482185179756338,0.537032825838765
1,1,-0.960922374642816,0,0,0,0,0,0,0,"Control",53.4,NA,0.433525956949908,0.482089359566323,0.536871235025338
1,1,-0.956056477585213,0,0,0,0,0,0,0,"Control",53.5,NA,0.433525185290256,0.482003570577177,0.536595130797666
1,1,-0.951190580527611,0,0,0,0,0,0,0,"Control",53.6,NA,0.433507581826233,0.481910043489854,0.536408809269932
1,1,-0.946324683470009,0,0,0,0,0,0,0,"Control",53.7,NA,0.433542358573196,0.481826097744263,0.536165795776281
1,1,-0.941458786412407,0,0,0,0,0,0,0,"Control",53.8,NA,0.433557191254091,0.48174795611456,0.535960862415924
1,1,-0.936592889354804,0,0,0,0,0,0,0,"Control",53.9,NA,0.43358553887384,0.481672379597327,0.535790600959178
1,1,-0.931726992297202,0,0,0,0,0,0,0,"Control",54,NA,0.433619196228682,0.481584136395376,0.535587119257808
1,1,-0.9268610952396,0,0,0,0,0,0,0,"Control",54.1,NA,0.433638046178803,0.481502201049481,0.535421326061202
