"Treatment.Act","BA","Recovery","cp.requirements","low","med","high"
"Control",64.7,NA,6,523.877546693067,745.844114693217,1061.5204786277
"Control",64.8,NA,6,523.917480474881,745.441752050427,1059.99032477675
"Control",64.9,NA,6,524.024667267965,744.984236379727,1058.3554694033
"Control",65,NA,6,524.100121919862,744.661185594176,1056.9374212055
"Control",65.1,NA,6,524.19575157236,744.340108800527,1055.10992363947
"Control",65.2,NA,6,524.146479746934,743.998363805228,1053.46241707763
"Control",65.3,NA,6,524.289433018387,743.636267115411,1051.85921205744
"Control",65.4,NA,6,524.545718604395,743.279684934388,1050.30452601379
"Control",65.5,NA,6,524.539436420051,742.847019511289,1048.75207928057
"Control",65.6,NA,6,524.528053364065,742.302009987159,1046.97802130393
"Control",65.7,NA,6,524.509792127362,741.690356852828,1045.41458350382
"Control",65.8,NA,6,524.7576730327,741.253331256512,1043.73459732171
"Control",65.9,NA,6,524.861768186144,740.781018051679,1042.10761664712
"Control",66,NA,6,524.936951250147,740.369824506888,1040.80590286873
"Control",66.1,NA,6,525.052978437425,739.906913756679,1039.43885354621
"Control",66.2,NA,6,525.217599555199,739.466976519301,1037.79264467082
"Control",66.3,NA,6,525.19474650617,738.994051138706,1036.53997127343
"Control",66.4,NA,6,525.480089090226,738.547409278932,1035.22449814722
"Control",66.5,NA,6,525.725948600084,738.094226608279,1033.56913359453
"Control",66.6,NA,6,525.855050673846,737.713895243534,1031.65704789468
"Control",66.7,NA,6,525.998519860185,737.257205808604,1030.23766055803
"Control",66.8,NA,6,526.152981102801,736.865945187568,1028.94093108025
"Control",66.9,NA,6,526.167033722108,736.391228683774,1027.44577162581
"Control",67,NA,6,526.579426737911,735.963361623283,1026.08031226529
"Control",67.1,NA,6,526.790403858717,735.656607179326,1024.34166266373
"Control",67.2,NA,6,527.066870786221,735.242877819095,1022.89948277372
"Control",67.3,NA,6,527.268463462906,734.828656708934,1021.50896761714
"Control",67.4,NA,6,527.367917946216,734.485785116272,1019.97305966804
"Control",67.5,NA,6,527.575500418562,733.977156802778,1019.02446080486
"Control",67.6,NA,6,527.62182153649,733.563350278643,1017.55914163761
"Control",67.7,NA,6,527.666454595332,733.258193656349,1015.95483912357
"Control",67.8,NA,6,527.937590185278,732.7745392752,1014.3708966568
"Control",67.9,NA,6,528.16005550154,732.422223135266,1013.22497039113
"Control",68,NA,6,528.208770736741,731.890505786741,1011.91094275363
"Control",68.1,NA,6,528.348068380849,731.543274340099,1010.36751802486
"Control",68.2,NA,6,528.537534480947,731.243177510315,1009.16733133018
"Control",68.3,NA,6,528.625711577062,730.768044739956,1007.87225380597
"Control",68.4,NA,6,528.624625185813,730.318704039935,1006.829073025
"Control",68.5,NA,6,528.602261079572,729.929476988367,1005.80908516534
"Control",68.6,NA,6,528.737703232735,729.467714171584,1004.51172181062
"Control",68.7,NA,6,528.757583603359,729.025789824779,1003.03598202387
"Control",68.8,NA,6,528.74923725373,728.559263998642,1001.71216068296
"Control",68.9,NA,6,528.729562491604,728.09736778462,1000.58510823966
"Control",69,NA,6,529.01504969843,727.718617519798,999.089381780762
"Control",69.1,NA,6,528.834802196853,727.31983201253,997.744618264897
"Control",69.2,NA,6,529.049811541357,726.936187250466,996.554916757108
"Control",69.3,NA,6,529.148861202555,726.520164846341,995.345199419948
"Control",69.4,NA,6,529.108228598667,726.120218540157,993.792471305218
"Control",69.5,NA,6,529.110745950481,725.804433510948,992.440856986388
"Control",69.6,NA,6,529.044575451117,725.37243682889,991.437791066465
"Control",69.7,NA,6,529.163898582618,724.937331221614,989.505438196453
"Control",69.8,NA,6,529.246671538224,724.468554658459,988.043169796147
"Control",69.9,NA,6,529.373183548678,723.9272064803,986.744305782425
"Control",70,NA,6,529.410620230479,723.65610587538,985.455722027193
"Control",70.1,NA,6,529.536295773297,723.175102121981,984.222555234079
"Control",70.2,NA,6,529.550664587001,722.855448822027,983.005541447287
"Control",70.3,NA,6,529.474464545187,722.35829233804,981.852551051258
"Control",70.4,NA,6,529.448861277444,721.984668880752,980.790092298122
"Control",70.5,NA,6,529.47460396453,721.593677103781,979.545348826664
"Control",70.6,NA,6,529.367723284573,721.273261445784,978.357131189699
"Control",70.7,NA,6,529.403267543898,720.803191626305,977.184895598243
"Control",70.8,NA,6,529.645890499972,720.442458927125,976.019116879056
"Control",70.9,NA,6,529.918221371979,719.938751808207,974.718635586926
"Control",71,NA,6,530.004993941485,719.443312310098,973.588588654555
"Control",71.1,NA,6,530.226712103027,718.943780671384,972.505887606092
"Control",71.2,NA,6,530.321369537927,718.625025878663,971.385933366147
"Control",71.3,NA,6,530.285576625509,718.238409676998,970.038358268963
"Control",71.4,NA,6,530.291352550427,717.813684029016,969.03339101147
"Control",71.5,NA,6,530.210434997899,717.408677768739,968.148427066508
"Control",71.6,NA,6,530.340100991538,717.029522760242,967.175572461879
"Control",71.7,NA,6,530.343708237066,716.627966748706,965.841212539974
"Control",71.8,NA,6,530.593798429186,716.214006793896,964.854270238078
"Control",71.9,NA,6,530.594852208487,715.868901740774,963.483879932442
"Control",72,NA,6,530.632622604973,715.453125013415,962.148669551218
"Control",72.1,NA,6,530.684087094909,715.089505418158,960.935347936209
"Control",72.2,NA,6,530.765051708647,714.574608716851,959.484748566889
"Control",72.3,NA,6,531.009187972497,714.062337956006,958.477491697887
"Control",72.4,NA,6,531.095302783296,713.743708898491,957.367323271146
"Control",72.5,NA,6,531.116696507298,713.358293230874,956.047483135637
"Control",72.6,NA,6,531.093096451641,712.987705568279,954.905681948248
"Control",72.7,NA,6,531.222685708925,712.547214147162,953.823943121682
"Control",72.8,NA,6,531.02458126213,712.196895363555,952.591819093894
"Control",72.9,NA,6,531.003001712716,711.843257675679,951.206964253419
"Control",73,NA,6,531.06544052508,711.523835985955,950.320746129423
"Control",73.1,NA,6,531.300672949886,711.211450652967,949.38952687138
"Control",73.2,NA,6,531.538785862231,710.905464379404,948.562978219492
"Control",73.3,NA,6,531.39292860291,710.636905951263,947.604670753624
"Control",73.4,NA,6,531.537015813493,710.296804386958,946.473306903328
"Control",73.5,NA,6,531.696742851465,709.911953767044,945.297769914507
"Control",73.6,NA,6,531.628510736217,709.482453417106,944.237206277123
"Control",73.7,NA,6,531.524155163405,709.108826233776,943.084458169508
"Control",73.8,NA,6,531.515239474459,708.671817350496,941.90357528911
"Control",73.9,NA,6,531.441754865306,708.212294302095,940.782186066452
"Control",74,NA,6,531.45776689213,707.731432099544,939.663794127922
"Control",74.1,NA,6,531.447867463983,707.272493703339,938.572052103459
"Control",74.2,NA,6,531.519782097949,706.839645069978,937.454512163054
"Control",74.3,NA,6,531.525180672868,706.336858866209,936.591535284368
"Control",74.4,NA,6,531.432483852852,706.003676046035,935.496911118477
"Control",74.5,NA,6,531.421688773979,705.709752034677,934.581896644751
"Control",74.6,NA,6,531.303984517788,705.373598340642,933.519261977469
"Control",74.7,NA,6,531.190250302001,705.063571826791,932.183139617967
"Control",74.8,NA,6,531.133122704822,704.687604674981,930.936128811138
"Control",74.9,NA,6,531.131285516816,704.266424062929,929.848597107318
"Control",75,NA,6,531.055138076862,703.754697289308,928.673879314157
"Control",75.1,NA,6,531.001720999921,703.321659793377,927.648261472071
